code,description
M6211,"Other rupture of muscle (nontraumatic), shoulder"
M6212,"Other rupture of muscle (nontraumatic), upper arm"
M6213,"Other rupture of muscle (nontraumatic), forearm"
M6214,"Other rupture of muscle (nontraumatic), hand"
M6215,"Other rupture of muscle (nontraumatic), thigh"
M6216,"Other rupture of muscle (nontraumatic), lower leg"
M6217,"Other rupture of muscle (nontraumatic), ankle and foot"
M622,Nontraumatic ischemic infarction of muscle
M6221,"Nontraumatic ischemic infarction of muscle, shoulder"
M6222,"Nontraumatic ischemic infarction of muscle, upper arm"
M6223,"Nontraumatic ischemic infarction of muscle, forearm"
M6224,"Nontraumatic ischemic infarction of muscle, hand"
M6225,"Nontraumatic ischemic infarction of muscle, thigh"
M6226,"Nontraumatic ischemic infarction of muscle, lower leg"
M6227,"Nontraumatic ischemic infarction of muscle, ankle and foot"
M624,Contracture of muscle
M6241,"Contracture of muscle, shoulder"
M6242,"Contracture of muscle, upper arm"
M6243,"Contracture of muscle, forearm"
M6244,"Contracture of muscle, hand"
M6245,"Contracture of muscle, thigh"
M6246,"Contracture of muscle, lower leg"
M6247,"Contracture of muscle, ankle and foot"
M625,"Muscle wasting and atrophy, not elsewhere classified"
M6251,"Muscle wasting and atrophy, NEC, shoulder"
M6252,"Muscle wasting and atrophy, NEC, upper arm"
M6253,"Muscle wasting and atrophy, NEC, forearm"
M6254,"Muscle wasting and atrophy, not elsewhere classified, hand"
M6255,"Muscle wasting and atrophy, not elsewhere classified, thigh"
M6256,"Muscle wasting and atrophy, NEC, lower leg"
M6257,"Muscle wasting and atrophy, NEC, ankle and foot"
M625A,"Muscle wasting and atrophy, not elsewhere classified, back"
M628,Other specified disorders of muscle
M6283,Muscle spasm
M63,Disorders of muscle in diseases classified elsewhere
M638,Disorders of muscle in diseases classified elsewhere
M6381,"Disorders of muscle in diseases classd elswhr, shoulder"
M6382,"Disorders of muscle in diseases classd elswhr, upper arm"
M6383,"Disorders of muscle in diseases classd elswhr, forearm"
M6384,"Disorders of muscle in diseases classified elsewhere, hand"
M6385,"Disorders of muscle in diseases classified elsewhere, thigh"
M6386,"Disorders of muscle in diseases classd elswhr, lower leg"
M6387,"Disorders of muscle in diseases classd elswhr, ank/ft"
M65,Synovitis and tenosynovitis
M650,Abscess of tendon sheath
M6501,"Abscess of tendon sheath, shoulder"
M6502,"Abscess of tendon sheath, upper arm"
M6503,"Abscess of tendon sheath, forearm"
M6504,"Abscess of tendon sheath, hand"
M6505,"Abscess of tendon sheath, thigh"
M6506,"Abscess of tendon sheath, lower leg"
M6507,"Abscess of tendon sheath, ankle and foot"
M651,Other infective (teno)synovitis
M6511,"Other infective (teno)synovitis, shoulder"
M6512,"Other infective (teno)synovitis, elbow"
M6513,"Other infective (teno)synovitis, wrist"
M6514,"Other infective (teno)synovitis, hand"
M6515,"Other infective (teno)synovitis, hip"
M6516,"Other infective (teno)synovitis, knee"
M6517,"Other infective (teno)synovitis, ankle and foot"
M652,Calcific tendinitis
M6522,"Calcific tendinitis, upper arm"
M6523,"Calcific tendinitis, forearm"
M6524,"Calcific tendinitis, hand"
M6525,"Calcific tendinitis, thigh"
M6526,"Calcific tendinitis, lower leg"
M6527,"Calcific tendinitis, ankle and foot"
M653,Trigger finger
M6531,Trigger thumb
M6532,"Trigger finger, index finger"
M6533,"Trigger finger, middle finger"
M6534,"Trigger finger, ring finger"
M6535,"Trigger finger, little finger"
M658,Other synovitis and tenosynovitis
M6581,"Other synovitis and tenosynovitis, shoulder"
M6582,"Other synovitis and tenosynovitis, upper arm"
M6583,"Other synovitis and tenosynovitis, forearm"
M6584,"Other synovitis and tenosynovitis, hand"
M6585,"Other synovitis and tenosynovitis, thigh"
M6586,"Other synovitis and tenosynovitis, lower leg"
M6587,"Other synovitis and tenosynovitis, ankle and foot"
M659,"Synovitis and tenosynovitis, unspecified"
M6591,"Unspecified synovitis and tenosynovitis, shoulder"
M6592,"Unspecified synovitis and tenosynovitis, upper arm"
M6593,"Unspecified synovitis and tenosynovitis, forearm"
M6594,"Unspecified synovitis and tenosynovitis, hand"
M6595,"Unspecified synovitis and tenosynovitis, thigh"
M6596,"Unspecified synovitis and tenosynovitis, lower leg"
M6597,"Unspecified synovitis and tenosynovitis, ankle and foot"
M66,Spontaneous rupture of synovium and tendon
M661,Rupture of synovium
M6611,"Rupture of synovium, shoulder"
M6612,"Rupture of synovium, elbow"
M6613,"Rupture of synovium, wrist"
M6614,"Rupture of synovium, hand and fingers"
M6615,"Rupture of synovium, hip"
M6617,"Rupture of synovium, ankle, foot and toes"
M662,Spontaneous rupture of extensor tendons
M6621,"Spontaneous rupture of extensor tendons, shoulder"
M6622,"Spontaneous rupture of extensor tendons, upper arm"
M6623,"Spontaneous rupture of extensor tendons, forearm"
M6624,"Spontaneous rupture of extensor tendons, hand"
M6625,"Spontaneous rupture of extensor tendons, thigh"
M6626,"Spontaneous rupture of extensor tendons, lower leg"
M6627,"Spontaneous rupture of extensor tendons, ankle and foot"
M663,Spontaneous rupture of flexor tendons
M6631,"Spontaneous rupture of flexor tendons, shoulder"
M6632,"Spontaneous rupture of flexor tendons, upper arm"
M6633,"Spontaneous rupture of flexor tendons, forearm"
M6634,"Spontaneous rupture of flexor tendons, hand"
M6635,"Spontaneous rupture of flexor tendons, thigh"
M6636,"Spontaneous rupture of flexor tendons, lower leg"
M6637,"Spontaneous rupture of flexor tendons, ankle and foot"
M668,Spontaneous rupture of other tendons
M6681,"Spontaneous rupture of other tendons, shoulder"
M6682,"Spontaneous rupture of other tendons, upper arm"
M6683,"Spontaneous rupture of other tendons, forearm"
M6684,"Spontaneous rupture of other tendons, hand"
M6685,"Spontaneous rupture of other tendons, thigh"
M6686,"Spontaneous rupture of other tendons, lower leg"
M6687,"Spontaneous rupture of other tendons, ankle and foot"
M67,Other disorders of synovium and tendon
M670,Short Achilles tendon (acquired)
M672,"Synovial hypertrophy, not elsewhere classified"
M6721,"Synovial hypertrophy, not elsewhere classified, shoulder"
M6722,"Synovial hypertrophy, not elsewhere classified, upper arm"
M6723,"Synovial hypertrophy, not elsewhere classified, forearm"
M6724,"Synovial hypertrophy, not elsewhere classified, hand"
M6725,"Synovial hypertrophy, not elsewhere classified, thigh"
M6726,"Synovial hypertrophy, not elsewhere classified, lower leg"
M6727,"Synovial hypertrophy, NEC, ankle and foot"
M673,Transient synovitis
M6731,"Transient synovitis, shoulder"
M6732,"Transient synovitis, elbow"
M6733,"Transient synovitis, wrist"
M6734,"Transient synovitis, hand"
M6735,"Transient synovitis, hip"
M6736,"Transient synovitis, knee"
M6737,"Transient synovitis, ankle and foot"
M674,Ganglion
M6741,"Ganglion, shoulder"
M6742,"Ganglion, elbow"
M6743,"Ganglion, wrist"
M6744,"Ganglion, hand"
M6745,"Ganglion, hip"
M6746,"Ganglion, knee"
M6747,"Ganglion, ankle and foot"
M675,Plica syndrome
M678,Other specified disorders of synovium and tendon
M6781,"Other specified disorders of synovium and tendon, shoulder"
M6782,"Other specified disorders of synovium and tendon, elbow"
M6783,"Other specified disorders of synovium and tendon, wrist"
M6784,"Other specified disorders of synovium and tendon, hand"
M6785,"Other specified disorders of synovium and tendon, hip"
M6786,"Other specified disorders of synovium and tendon, knee"
M6787,"Oth disrd of synovium and tendon, ankle and foot"
M679,Unspecified disorder of synovium and tendon
M6791,"Unspecified disorder of synovium and tendon, shoulder"
M6792,"Unspecified disorder of synovium and tendon, upper arm"
M6793,"Unspecified disorder of synovium and tendon, forearm"
M6794,"Unspecified disorder of synovium and tendon, hand"
M6795,"Unspecified disorder of synovium and tendon, thigh"
M6796,"Unspecified disorder of synovium and tendon, lower leg"
M6797,"Unspecified disorder of synovium and tendon, ankle and foot"
M70,"Soft tissue disorders related to use, overuse and pressure"
M700,Crepitant synovitis (acute) (chronic) of hand and wrist
M7003,"Crepitant synovitis (acute) (chronic), wrist"
M7004,"Crepitant synovitis (acute) (chronic), hand"
M701,Bursitis of hand
M702,Olecranon bursitis
M703,Other bursitis of elbow
M704,Prepatellar bursitis
M705,Other bursitis of knee
M706,Trochanteric bursitis
M707,Other bursitis of hip
M708,Oth soft tissue disorders related to use/pressure
M7081,Oth soft tissue disord related to use/pressure of shoulder
M7082,Oth soft tissue disord related to use/pressure of upper arm
M7083,Oth soft tissue disorders related to use/pressure of forearm
M7084,Oth soft tissue disorders related to use/pressure of hand
M7085,Oth soft tissue disorders related to use/pressure of thigh
M7086,Oth soft tissue disorders related to use/pressure lower leg
M7087,Oth soft tissue disorders related to use/pressure of ank/ft
M709,Unsp soft tissue disorder related to use/pressure
M7091,Unsp soft tissue disord related to use/pressure of shoulder
M7092,Unsp soft tissue disorder related to use/pressure of up arm
M7093,Unsp soft tissue disorder related to use/pressure of forearm
M7094,Unsp soft tissue disorder related to use/pressure of hand
M7095,Unsp soft tissue disorder related to use/pressure of thigh
M7096,Unsp soft tissue disorder related to use/pressure lower leg
M7097,Unsp soft tissue disorder related to use/pressure of ank/ft
M71,Other bursopathies
M710,Abscess of bursa
M7101,"Abscess of bursa, shoulder"
M7102,"Abscess of bursa, elbow"
M7103,"Abscess of bursa, wrist"
M7104,"Abscess of bursa, hand"
M7105,"Abscess of bursa, hip"
M7106,"Abscess of bursa, knee"
M7107,"Abscess of bursa, ankle and foot"
M711,Other infective bursitis
M7111,"Other infective bursitis, shoulder"
M7112,"Other infective bursitis, elbow"
M7113,"Other infective bursitis, wrist"
M7114,"Other infective bursitis, hand"
M7115,"Other infective bursitis, hip"
M7116,"Other infective bursitis, knee"
M7117,"Other infective bursitis, ankle and foot"
M712,Synovial cyst of popliteal space [Baker]
M713,Other bursal cyst
M7131,"Other bursal cyst, shoulder"
M7132,"Other bursal cyst, elbow"
M7133,"Other bursal cyst, wrist"
M7134,"Other bursal cyst, hand"
M7135,"Other bursal cyst, hip"
M7137,"Other bursal cyst, ankle and foot"
M714,Calcium deposit in bursa
M7142,"Calcium deposit in bursa, elbow"
M7143,"Calcium deposit in bursa, wrist"
M7144,"Calcium deposit in bursa, hand"
M7145,"Calcium deposit in bursa, hip"
M7146,"Calcium deposit in bursa, knee"
M7147,"Calcium deposit in bursa, ankle and foot"
M715,"Other bursitis, not elsewhere classified"
M7152,"Other bursitis, not elsewhere classified, elbow"
M7153,"Other bursitis, not elsewhere classified, wrist"
M7154,"Other bursitis, not elsewhere classified, hand"
M7155,"Other bursitis, not elsewhere classified, hip"
M7156,"Other bursitis, not elsewhere classified, knee"
M7157,"Other bursitis, not elsewhere classified, ankle and foot"
M718,Other specified bursopathies
M7181,"Other specified bursopathies, shoulder"
M7182,"Other specified bursopathies, elbow"
M7183,"Other specified bursopathies, wrist"
M7184,"Other specified bursopathies, hand"
M7185,"Other specified bursopathies, hip"
M7186,"Other specified bursopathies, knee"
M7187,"Other specified bursopathies, ankle and foot"
M72,Fibroblastic disorders
M75,Shoulder lesions
M750,Adhesive capsulitis of shoulder
M751,"Rotator cuff tear or rupture, not specified as traumatic"
M7510,"Unsp rotatr-cuff tear/ruptr, not specified as traumatic"
M7511,Incomplete rotatr-cuff tear/ruptr not specified as traumatic
M7512,Complete rotatr-cuff tear/ruptr not specified as traumatic
M752,Bicipital tendinitis
M753,Calcific tendinitis of shoulder
M754,Impingement syndrome of shoulder
M755,Bursitis of shoulder
M758,Other shoulder lesions
M759,"Shoulder lesion, unspecified"
M76,"Enthesopathies, lower limb, excluding foot"
M760,Gluteal tendinitis
M761,Psoas tendinitis
M762,Iliac crest spur
M763,Iliotibial band syndrome
M764,Tibial collateral bursitis [Pellegrini-Stieda]
M765,Patellar tendinitis
M766,Achilles tendinitis
M767,Peroneal tendinitis
M768,"Other specified enthesopathies of lower limb, excluding foot"
M7681,Anterior tibial syndrome
M7682,Posterior tibial tendinitis
M7689,"Other specified enthesopathies of lower limb, excluding foot"
M77,Other enthesopathies
M770,Medial epicondylitis
M771,Lateral epicondylitis
M772,Periarthritis of wrist
M773,Calcaneal spur
M774,Metatarsalgia
M775,Other enthesopathy of foot and ankle
M79,"Oth and unsp soft tissue disorders, not elsewhere classified"
M791,Myalgia
M796,"Pain in limb, hand, foot, fingers and toes"
M7960,"Pain in limb, unspecified"
M7962,Pain in upper arm
M7963,Pain in forearm
M7964,Pain in hand and fingers
M7965,Pain in thigh
M7966,Pain in lower leg
M7967,Pain in foot and toes
M79A,Nontraumatic compartment syndrome
M79A1,Nontraumatic compartment syndrome of upper extremity
M79A2,Nontraumatic compartment syndrome of lower extremity
M798,Other specified soft tissue disorders
M80,Osteoporosis with current pathological fracture
M800,Age-related osteoporosis with current pathological fracture
M8000,"Age-related osteopor w current path fracture, unsp site"
M8001,"Age-related osteopor w current path fracture, shoulder"
M80011,"Age-related osteopor w current path fracture, r shoulder"
M80012,"Age-related osteopor w current path fracture, l shoulder"
M80019,"Age-related osteopor w current path fracture, unsp shoulder"
M8002,"Age-related osteopor w current path fracture, humerus"
M80021,"Age-related osteopor w current path fracture, r humerus"
M80022,"Age-related osteopor w current path fracture, l humerus"
M80029,"Age-related osteopor w current path fracture, unsp humerus"
M8003,"Age-related osteopor w current path fracture, forearm"
M80031,"Age-related osteopor w current path fracture, r forearm"
M80032,"Age-related osteopor w current path fracture, l forearm"
M80039,"Age-related osteopor w current path fracture, unsp forearm"
M8004,"Age-related osteopor w current pathological fracture, hand"
M80041,"Age-related osteopor w current path fracture, right hand"
M80042,"Age-related osteopor w current path fracture, left hand"
M80049,"Age-related osteopor w current path fracture, unsp hand"
M8005,"Age-related osteopor w current pathological fracture, femur"
M80051,"Age-related osteopor w current path fracture, right femur"
M80052,"Age-related osteopor w current path fracture, left femur"
M80059,"Age-related osteopor w current path fracture, unsp femur"
M8006,"Age-related osteopor w current path fracture, lower leg"
M80061,"Age-related osteopor w current path fracture, r low leg"
M80062,"Age-related osteopor w current path fracture, l low leg"
M80069,"Age-related osteopor w current path fracture, unsp lower leg"
M8007,"Age-related osteopor w current pathological fracture, ank/ft"
M80071,"Age-related osteopor w current path fracture, right ank/ft"
M80072,"Age-related osteopor w current path fracture, left ank/ft"
M80079,"Age-related osteopor w current path fracture, unsp ank/ft"
M8008,"Age-related osteopor w current path fracture, vertebra(e)"
M800A,"Age-related osteopor with current path fracture, other site"
M800B,"Age-related osteopor with current path fracture, pelvis"
M800B1,"Age-rel osteopor with current path fracture, right pelvis"
M800B2,"Age-related osteopor with current path fracture, left pelvis"
M800B9,"Age-rel osteopor with current path fracture, unsp pelvis"
M808,Other osteoporosis with current pathological fracture
M8080,"Oth osteoporosis w current pathological fracture, unsp site"
M8081,"Other osteoporosis with pathological fracture, shoulder"
M80811,"Oth osteoporosis w current pathological fracture, r shoulder"
M80812,"Oth osteoporosis w current pathological fracture, l shoulder"
